=== Estatísticas para dietas-regular.json ===
Nutriente: Alfa-tocoferol (Vitamina E) | Média: 6.08 | Desvio Padrão: 1.16
{'Brócolis, cozido', 'Carne, boi, acém, moído, refogado (c/ óleo, cebola e alho), c/ sal', 'Pão, trigo, integral, de forma', 'Nozes, cruas', 'Carne, porco, lombo, assado', 'Sopa, legumes, c/ carne, c/ sal', 'Carne, porco, lombo, grelhado/assado, s/ óleo, c/ sal', 'Abobrinha, italiana, cozida', 'Carne, boi, moída, cozida (patinho), c/ óleo, cebola e alho, c/ sal', 'Carne, boi, miolo de alcatra, s/ gordura, grelhado/assada, s/ óleo, c/ sal', 'Peixe, atum, em conserva, c/ óleo', 'Pimentão, amarelo, cru', 'Molho, tomate, industrializado', 'Repolho, branco, cru', 'Queijo, coalho, grelhado', 'Sanduíche: Pão integral', 'Pão de queijo, assado', 'Peixe, pescada, amarela, posta, grelhada, s/ óleo, c/ sal', 'Grão-de-bico, cozido, drenado, s/ óleo, c/ sal', 'Granola, caseira', 'Pão francês, trigo, branco, de padaria (médias de differentes amostras)', 'Mandioca, cozida', 'Iogurte, natural, integral', 'Carne, boi, maminha, grelhada, s/ óleo, c/ sal', 'Peixe, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)', 'Carne, boi, patinho, s/ gordura, grelhado/assado, s/ óleo, c/ sal', 'Salada, de frutas, c/ açúcar', 'Ovo, galinha, inteiro, cozido', 'Castanha de caju, torrada, c/ sal', 'Vagem, cozida, drenada, s/ óleo, c/ sal (média de differentes amostras)', 'Carne, frango, peito, s/ pele, grelhado, s/ gordura, s/ óleo, c/ sal', 'Maionese, industrializada', 'Carne, boi, alcatra, grelhada/assada, s/ óleo, c/ sal', 'Batata, doce, cozida, s/ casca, s/ óleo, c/ sal', 'Suco, uva, concentrado, s/ açúcar', 'Batata, inglesa, purê, c/ leite, margarina e sal', 'Carne, boi, acém, moído, cozido', 'Aveia, crua (média de differentes tipos)', 'Brocolis, flor, cozido, drenado, s/ óleo, c/ sal', 'Peixe, pescada, amarela, filé, grelhado', 'Suco, uva, s/ açúcar', 'Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal', 'Banana, prata, in natura', 'Batata, doce, cozida', 'Carne, boi, miolo de alcatra, s/ gordura, grelhado/assado, s/ óleo, c/ sal', 'Castanha-do-brasil, crua', 'Leite, vaca, desnatado, fluído (média de differentes amostras)', 'Melancia, in natura', 'Suco, uva, tinto, integral', 'Peixe, pescada, filé, grelhado, s/ óleo, c/ sal', 'Laranja, pera, in natura', 'Castanha-de-caju, torrada, c/ sal', 'Carne, frango, sobrecoxa, s/ pele, assada, s/ óleo, c/ sal', 'Biscoito, cream cracker', 'Abóbora, cabotiá, cozida', 'Requeijão, cremoso', 'Peixe, pescada, branca, filé, assado, s/ óleo, c/ sal', 'Carne, frango, sobrecoxa, s/ pele, assada, s/ gordura, s/ óleo, c/ sal', 'Cereais, barra (média de differentes sabores)', 'Carne, boi, alcatra, sem gordura, grelhada/assada, s/ óleo, c/ sal', 'Castanha-do-Brasil, crua', 'Cuscuz, de milho, cozido, c/ sal', 'Arroz, integral, cozido, c/ óleo, cebola e alho, c/ sal', 'Peixe, pescada, amarela, filé, assado, s/ óleo, c/ sal', 'Azeite, de oliva, extra virgem', 'Presunto, cozido, s/ capa de gordura', 'Couve-manteiga, refogada', 'Batata, baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal', 'Carne, boi, contra-filé, s/ gordura, grelhado, s/ óleo, c/ sal', 'Pão de queijo, industrializado, assado', 'Omelete, queijo e tomate, c/ sal', 'Carne, porco, lombo, s/ gordura, assado, s/ óleo, c/ sal', 'Banana, nanica, in natura', 'Salada, legumes, cozidos no vapor', 'Beterraba, s/ casca, cozida, drenada, s/ óleo, c/ sal'}

Alimentos não encontrados nas Pegadas Ambientais:
{'Brócolis, cozido', 'Carne, boi, acém, moído, refogado (c/ óleo, cebola e alho), c/ sal', 'Pão, trigo, integral, de forma', 'Nozes, cruas', 'Carne, porco, lombo, assado', 'Sopa, legumes, c/ carne, c/ sal', 'Carne, porco, lombo, grelhado/assado, s/ óleo, c/ sal', 'Abobrinha, italiana, cozida', 'Carne, boi, moída, cozida (patinho), c/ óleo, cebola e alho, c/ sal', 'Carne, boi, miolo de alcatra, s/ gordura, grelhado/assada, s/ óleo, c/ sal', 'Peixe, atum, em conserva, c/ óleo', 'Pimentão, amarelo, cru', 'Molho, tomate, industrializado', 'Repolho, branco, cru', 'Queijo, coalho, grelhado', 'Sanduíche: Pão integral', 'Pão de queijo, assado', 'Peixe, pescada, amarela, posta, grelhada, s/ óleo, c/ sal', 'Grão-de-bico, cozido, drenado, s/ óleo, c/ sal', 'Granola, caseira', 'Pão francês, trigo, branco, de padaria (médias de differentes amostras)', 'Mandioca, cozida', 'Iogurte, natural, integral', 'Carne, boi, maminha, grelhada, s/ óleo, c/ sal', 'Peixe, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)', 'Carne, boi, patinho, s/ gordura, grelhado/assado, s/ óleo, c/ sal', 'Salada, de frutas, c/ açúcar', 'Ovo, galinha, inteiro, cozido', 'Castanha de caju, torrada, c/ sal', 'Vagem, cozida, drenada, s/ óleo, c/ sal (média de differentes amostras)', 'Carne, frango, peito, s/ pele, grelhado, s/ gordura, s/ óleo, c/ sal', 'Maionese, industrializada', 'Carne, boi, alcatra, grelhada/assada, s/ óleo, c/ sal', 'Batata, doce, cozida, s/ casca, s/ óleo, c/ sal', 'Suco, uva, concentrado, s/ açúcar', 'Batata, inglesa, purê, c/ leite, margarina e sal', 'Carne, boi, acém, moído, cozido', 'Aveia, crua (média de differentes tipos)', 'Brocolis, flor, cozido, drenado, s/ óleo, c/ sal', 'Peixe, pescada, amarela, filé, grelhado', 'Suco, uva, s/ açúcar', 'Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal', 'Banana, prata, in natura', 'Batata, doce, cozida', 'Carne, boi, miolo de alcatra, s/ gordura, grelhado/assado, s/ óleo, c/ sal', 'Castanha-do-brasil, crua', 'Leite, vaca, desnatado, fluído (média de differentes amostras)', 'Melancia, in natura', 'Suco, uva, tinto, integral', 'Peixe, pescada, filé, grelhado, s/ óleo, c/ sal', 'Laranja, pera, in natura', 'Castanha-de-caju, torrada, c/ sal', 'Carne, frango, sobrecoxa, s/ pele, assada, s/ óleo, c/ sal', 'Biscoito, cream cracker', 'Abóbora, cabotiá, cozida', 'Requeijão, cremoso', 'Peixe, pescada, branca, filé, assado, s/ óleo, c/ sal', 'Carne, frango, sobrecoxa, s/ pele, assada, s/ gordura, s/ óleo, c/ sal', 'Cereais, barra (média de differentes sabores)', 'Carne, boi, alcatra, sem gordura, grelhada/assada, s/ óleo, c/ sal', 'Castanha-do-Brasil, crua', 'Cuscuz, de milho, cozido, c/ sal', 'Arroz, integral, cozido, c/ óleo, cebola e alho, c/ sal', 'Peixe, pescada, amarela, filé, assado, s/ óleo, c/ sal', 'Azeite, de oliva, extra virgem', 'Presunto, cozido, s/ capa de gordura', 'Couve-manteiga, refogada', 'Batata, baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal', 'Carne, boi, contra-filé, s/ gordura, grelhado, s/ óleo, c/ sal', 'Pão de queijo, industrializado, assado', 'Omelete, queijo e tomate, c/ sal', 'Carne, porco, lombo, s/ gordura, assado, s/ óleo, c/ sal', 'Banana, nanica, in natura', 'Salada, legumes, cozidos no vapor', 'Beterraba, s/ casca, cozida, drenada, s/ óleo, c/ sal'}


=== Estatísticas para dietas-vegana.json ===
Nutriente: Alfa-tocoferol (Vitamina E) | Média: 10.00 | Desvio Padrão: 2.79
Nutriente: Açúcar de adição | Média: 45.89 | Desvio Padrão: 30.61
Nutriente: Carboidrato disponível | Média: 274.46 | Desvio Padrão: 57.22
Nutriente: Carboidrato total | Média: 324.03 | Desvio Padrão: 65.05
Nutriente: Cinzas | Média: 15.59 | Desvio Padrão: 2.81
Nutriente: Cobre | Média: 2.48 | Desvio Padrão: 0.45
Nutriente: Colesterol | Média: 25.11 | Desvio Padrão: 10.20
Nutriente: Cálcio | Média: 587.27 | Desvio Padrão: 148.50
Nutriente: Energia | Média: 2199.71 | Desvio Padrão: 410.79
Nutriente: Equivalente de folato | Média: 583.60 | Desvio Padrão: 116.30
Nutriente: Ferro | Média: 15.98 | Desvio Padrão: 3.30
Nutriente: Fibra alimentar | Média: 49.95 | Desvio Padrão: 9.18
Nutriente: Fósforo | Média: 1229.27 | Desvio Padrão: 227.87
Nutriente: Gordura de adição | Média: 2.01 | Desvio Padrão: 2.29
Nutriente: Lipídios | Média: 83.54 | Desvio Padrão: 27.21
Nutriente: Magnésio | Média: 446.27 | Desvio Padrão: 82.09
Nutriente: Manganês | Média: 100.18 | Desvio Padrão: 81.30
Nutriente: Niacina | Média: 8.96 | Desvio Padrão: 1.58
Nutriente: Potássio | Média: 3029.82 | Desvio Padrão: 564.09
Nutriente: Proteína | Média: 63.13 | Desvio Padrão: 11.74
Nutriente: Proteína animal | Média: 4.50 | Desvio Padrão: 3.21
Nutriente: Proteína vegetal | Média: 26.76 | Desvio Padrão: 6.27
Nutriente: Riboflavina | Média: 0.70 | Desvio Padrão: 0.18
Nutriente: Sal de adição | Média: 2.49 | Desvio Padrão: 0.46
Nutriente: Selênio | Média: 226.79 | Desvio Padrão: 86.66
Nutriente: Sódio | Média: 1719.85 | Desvio Padrão: 330.77
Nutriente: Tiamina | Média: 1.98 | Desvio Padrão: 0.81
Nutriente: Umidade | Média: 1279.11 | Desvio Padrão: 207.36
Nutriente: Vitamina A (RAE) | Média: 682.34 | Desvio Padrão: 129.70
Nutriente: Vitamina A (RE) | Média: 1301.02 | Desvio Padrão: 252.48
Nutriente: Vitamina B12 | Média: 0.56 | Desvio Padrão: 0.38
Nutriente: Vitamina B6 | Média: 1.06 | Desvio Padrão: 0.22
Nutriente: Vitamina C | Média: 187.66 | Desvio Padrão: 33.04
Nutriente: Vitamina D | Média: 0.22 | Desvio Padrão: 0.23
Nutriente: Zinco | Média: 11.08 | Desvio Padrão: 2.02
Nutriente: Ácidos graxos monoinsaturados | Média: 23.55 | Desvio Padrão: 7.72
Nutriente: Ácidos graxos poliinsaturados | Média: 36.93 | Desvio Padrão: 14.97
Nutriente: Ácidos graxos saturados | Média: 18.68 | Desvio Padrão: 4.72
Nutriente: Ácidos graxos trans | Média: 0.57 | Desvio Padrão: 0.15
Nutriente: Álcool | Média: 0.00 | Desvio Padrão: 0.00

--- Pegadas Ambientais ---
Pegada: Carbon Footprint | Média: 162.39 | Desvio Padrão: 30.73
Pegada: Water Footprint | Média: 265.12 | Desvio Padrão: 56.21
Pegada: Ecological Footprint | Média: 1.46 | Desvio Padrão: 0.39

Alimentos não encontrados no TBCA:
{'Pistache, cru, s/ sal ', 'Castanha de caju, crua, s/ sal ', 'Manjerona, in natura', 'Avelã, crua, s/ sal', 'Salada, legumes cozidos, c/ óleo de soja, c/ sal ', 'Noz, crua ', 'Aveia, crua (média de diferentes tipos) ', 'Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e 1', 'Cereais, granola, caseira ', 'Abacate, polpa, in natura ', 'Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal', 'Rúcula, crua ', 'Bebida, chá, infusão, s/ açúcar (média de várias ervas) ', 'Semente de abóbora, inteira, torrada, s/ óleo, s/ sal ', 'Milho, verde, cozido, s/ sal', 'Soja, extrato, bebida, natural (média de diferentes amostras) ', 'Suco, laranja, s/ açúcar ', 'Linhaça, semente ', 'Chichória, crua', 'Salada, alface crespa, c/ óleo de soja, c/ sal ', 'Maçã, c/ casca, in natura ', 'Tangerina, Ponkã, in natura ', 'Suco natural, abacaxi, s/ açúcar ', 'Chia, semente, seca ', 'Melão, polpa, in natura ', 'Salada de frutas, c/ açúcar ', 'Soja, leite', 'Quinoa, grão, cozida, s/ óleo, s/ sal ', 'Melado, de cana', 'Castanha do Brasil, crua ', 'Cebolinha, verde, crua ', 'Geleia, fruta (média de diferentes sabores)', 'Brócolos, flor, cozido, drenado, s/ óleo, c/ sal ', 'Pera, in natura ', 'Soja, extrato, bebida, natural (média de differentes amostras)', 'Pão, sírio, branco ', 'Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal ', 'Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal ', 'Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal ', 'Brócolos, flor, refogado (c/ óleo, cebola e alho), c/ sal', 'Soja, proteína, texturizada, hidratada (c/ caldo de legumes), refogada, c/ óleo, cebola e alho, c/ sal ', 'Sopa, feijão, preto, c/ sal ', 'Cuscuz de milho, cozido, c/ sal ', 'Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo', 'Geleia, s/ açúcar (média de differentes sabores)', 'Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal ', 'Banana, da terra, assada, s/ adição de ingredientes ', 'Repolho, roxo, cru ', 'Leite de coco', 'Grão de bico, cozido, dreando, s/ óleo, c/ sal ', 'Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal ', 'Risoto de legumes, c/ arroz polido, c/ sal ', 'Avelã , crua, s/ sal ', 'Suco natural, goiaba, vermelha, s/ açúcar ', 'Soja, extrato, bebida (média de diferentes sabores) ', 'Beterraba, s/ casca, crua ', 'Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal ', 'Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal ', 'Mamão, polpa, in natura ', 'Semente de girassol, torrada, s/ óleo, s/ sal ', 'Alface, crua ', 'Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal ', 'Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal ', 'Amendoim, grão, cru ', 'Tapioca, sem manteiga, sem recheio ', 'Biscoito, arroz ', 'Coco, água ', 'Banana, in natura ', 'Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal ', 'Pão francês, trigo, branco, de padaria (médias de differentes amostras)', 'Soja, tofu ', 'Suco natural, melancia, c/ açúcar ', 'Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal ', 'Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Tahini (pasta de gergelim) ', 'Aveia, crua (média de differentes tipos)', 'Tomate, in natura ', 'Tofu, soja', 'Macarrão, trigo, c/ vegetais, c/ sal ', 'Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal ', 'Azeite de oliva, extra virgem', 'Geleia, fruta, s/ açúcar', 'Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal '}

Alimentos não encontrados nas Pegadas Ambientais:
{'Pistache, cru, s/ sal ', 'Castanha de caju, crua, s/ sal ', 'Manjerona, in natura', 'Avelã, crua, s/ sal', 'Salada, legumes cozidos, c/ óleo de soja, c/ sal ', 'Noz, crua ', 'Aveia, crua (média de diferentes tipos) ', 'Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e 1', 'Cereais, granola, caseira ', 'Abacate, polpa, in natura ', 'Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal', 'Rúcula, crua ', 'Bebida, chá, infusão, s/ açúcar (média de várias ervas) ', 'Semente de abóbora, inteira, torrada, s/ óleo, s/ sal ', 'Milho, verde, cozido, s/ sal', 'Soja, extrato, bebida, natural (média de diferentes amostras) ', 'Suco, laranja, s/ açúcar ', 'Linhaça, semente ', 'Chichória, crua', 'Salada, alface crespa, c/ óleo de soja, c/ sal ', 'Maçã, c/ casca, in natura ', 'Tangerina, Ponkã, in natura ', 'Suco natural, abacaxi, s/ açúcar ', 'Chia, semente, seca ', 'Melão, polpa, in natura ', 'Salada de frutas, c/ açúcar ', 'Soja, leite', 'Quinoa, grão, cozida, s/ óleo, s/ sal ', 'Melado, de cana', 'Castanha do Brasil, crua ', 'Cebolinha, verde, crua ', 'Geleia, fruta (média de diferentes sabores)', 'Brócolos, flor, cozido, drenado, s/ óleo, c/ sal ', 'Pera, in natura ', 'Soja, extrato, bebida, natural (média de differentes amostras)', 'Pão, sírio, branco ', 'Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal ', 'Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal ', 'Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal ', 'Brócolos, flor, refogado (c/ óleo, cebola e alho), c/ sal', 'Soja, proteína, texturizada, hidratada (c/ caldo de legumes), refogada, c/ óleo, cebola e alho, c/ sal ', 'Sopa, feijão, preto, c/ sal ', 'Cuscuz de milho, cozido, c/ sal ', 'Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo', 'Geleia, s/ açúcar (média de differentes sabores)', 'Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal ', 'Banana, da terra, assada, s/ adição de ingredientes ', 'Repolho, roxo, cru ', 'Leite de coco', 'Grão de bico, cozido, dreando, s/ óleo, c/ sal ', 'Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal ', 'Risoto de legumes, c/ arroz polido, c/ sal ', 'Avelã , crua, s/ sal ', 'Suco natural, goiaba, vermelha, s/ açúcar ', 'Soja, extrato, bebida (média de diferentes sabores) ', 'Beterraba, s/ casca, crua ', 'Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal ', 'Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal ', 'Mamão, polpa, in natura ', 'Semente de girassol, torrada, s/ óleo, s/ sal ', 'Alface, crua ', 'Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal ', 'Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal ', 'Amendoim, grão, cru ', 'Tapioca, sem manteiga, sem recheio ', 'Biscoito, arroz ', 'Coco, água ', 'Banana, in natura ', 'Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal ', 'Pão francês, trigo, branco, de padaria (médias de differentes amostras)', 'Soja, tofu ', 'Suco natural, melancia, c/ açúcar ', 'Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal ', 'Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal ', 'Tahini (pasta de gergelim) ', 'Aveia, crua (média de differentes tipos)', 'Tomate, in natura ', 'Tofu, soja', 'Macarrão, trigo, c/ vegetais, c/ sal ', 'Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal ', 'Azeite de oliva, extra virgem', 'Geleia, fruta, s/ açúcar', 'Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal '}


=== Estatísticas para dietas-vegetariana.json ===
Nutriente: Alfa-tocoferol (Vitamina E) | Média: 8.65 | Desvio Padrão: 1.86
Nutriente: Açúcar de adição | Média: 25.43 | Desvio Padrão: 21.71
Nutriente: Carboidrato disponível | Média: 224.30 | Desvio Padrão: 42.43
Nutriente: Carboidrato total | Média: 258.93 | Desvio Padrão: 47.53
Nutriente: Cinzas | Média: 17.24 | Desvio Padrão: 2.87
Nutriente: Cobre | Média: 1.65 | Desvio Padrão: 0.30
Nutriente: Colesterol | Média: 452.27 | Desvio Padrão: 105.39
Nutriente: Cálcio | Média: 1188.46 | Desvio Padrão: 238.76
Nutriente: Energia | Média: 1982.69 | Desvio Padrão: 345.69
Nutriente: Equivalente de folato | Média: 520.23 | Desvio Padrão: 88.39
Nutriente: Ferro | Média: 14.05 | Desvio Padrão: 2.42
Nutriente: Fibra alimentar | Média: 34.93 | Desvio Padrão: 6.25
Nutriente: Fósforo | Média: 1497.53 | Desvio Padrão: 270.14
Nutriente: Gordura de adição | Média: 1.77 | Desvio Padrão: 0.88
Nutriente: Lipídios | Média: 78.91 | Desvio Padrão: 15.28
Nutriente: Magnésio | Média: 343.16 | Desvio Padrão: 59.75
Nutriente: Manganês | Média: 4.06 | Desvio Padrão: 0.80
Nutriente: Niacina | Média: 9.63 | Desvio Padrão: 1.96
Nutriente: Potássio | Média: 2801.97 | Desvio Padrão: 491.04
Nutriente: Proteína | Média: 76.71 | Desvio Padrão: 13.28
Nutriente: Proteína animal | Média: 22.60 | Desvio Padrão: 4.60
Nutriente: Proteína vegetal | Média: 17.21 | Desvio Padrão: 4.17
Nutriente: Riboflavina | Média: 1.66 | Desvio Padrão: 0.35
Nutriente: Sal de adição | Média: 2.64 | Desvio Padrão: 0.48
Nutriente: Selênio | Média: 122.11 | Desvio Padrão: 46.25
Nutriente: Sódio | Média: 2236.02 | Desvio Padrão: 360.41
Nutriente: Tiamina | Média: 1.17 | Desvio Padrão: 0.45
Nutriente: Umidade | Média: 1330.83 | Desvio Padrão: 228.07
Nutriente: Vitamina A (RAE) | Média: 893.77 | Desvio Padrão: 160.34
Nutriente: Vitamina A (RE) | Média: 1492.76 | Desvio Padrão: 277.81
Nutriente: Vitamina B12 | Média: 3.21 | Desvio Padrão: 0.66
Nutriente: Vitamina B6 | Média: 0.73 | Desvio Padrão: 0.14
Nutriente: Vitamina C | Média: 154.44 | Desvio Padrão: 29.47
Nutriente: Vitamina D | Média: 2.74 | Desvio Padrão: 0.77
Nutriente: Zinco | Média: 10.84 | Desvio Padrão: 1.92
Nutriente: Ácidos graxos monoinsaturados | Média: 22.79 | Desvio Padrão: 4.40
Nutriente: Ácidos graxos poliinsaturados | Média: 24.80 | Desvio Padrão: 6.75
Nutriente: Ácidos graxos saturados | Média: 24.28 | Desvio Padrão: 4.45
Nutriente: Ácidos graxos trans | Média: 1.06 | Desvio Padrão: 0.30
Nutriente: Álcool | Média: 0.00 | Desvio Padrão: 0.00

--- Pegadas Ambientais ---
Pegada: Carbon Footprint | Média: 241.65 | Desvio Padrão: 40.18
Pegada: Water Footprint | Média: 259.17 | Desvio Padrão: 52.13
Pegada: Ecological Footprint | Média: 1.54 | Desvio Padrão: 0.28

Alimentos não encontrados no TBCA:
